category,title,description
소개,AI Data QA,"AI 학습데이터 품질관리(QA) 및 어노테이션 프로젝트를 6년 이상 수행했습니다. 자율주행 3D Lidar, 위성영상, 이동객체 등 다양한 AI 데이터 프로젝트에서 작업자 관리, 검수, QA, PM 보조 업무를 수행하며 데이터 품질과 프로젝트 일정 관리를 담당했습니다."
기술,QA,
기술,AI Data Annotation,
기술,3D Lidar,
기술,Microsoft Excel,
기술,데이터 시각화,
기술,Python,
기술,GitHub,
기술,HTML,
기술,CSS,
기술,JavaScript,
경력,(주)오토노머스에이투지,"2024.10 ~ 2025.10 · AI Data QA · 3D Lidar Data Annotation 및 품질 검수"
경력,(주)에이모,"2020.10 ~ 2022.06 · AI 데이터 QA · 작업자 관리 · PM 보조 · OCR · 위성영상 · Meta 프로젝트"
경력,프로에스콤,"2017.07 ~ 2020.01 · 롯데월드 전망대 특수보안 · 고객 응대 및 안전 관리"
경력,챠밍캠프,"2015.09 ~ 2017.01 · 고객 관리 · 현장 운영"
학력,정화예술대학교,"피부미용학과 졸업 (2012.03 ~ 2014.02)"
자격증,2종 보통 운전면허,
자격증,Microsoft Excel 활용,
자격증,AI 데이터 QA 실무 경험,
